Text;ADJ;ADVB;INTJ;NOUN;PREP;VERB
стратилат тоже уходит, мошкин останавливается;0.0;0.16666666666666666;0.0;0.3333333333333333;0.0;0.3333333333333333
садится и утирает лицо платком;0.0;0.0;0.0;0.4;0.0;0.4
раздается звонок;0.0;0.0;0.0;0.5;0.0;0.5
прислушивается;0.0;0.0;0.0;0.0;0.0;1.0
входит;0.0;0.0;0.0;0.0;0.0;1.0
торопливо;0.0;1.0;0.0;0.0;0.0;0.0
стратилат выходит мошкин с волнением смотрит на дверь. входит шпуньдик. на нем длинный гороховый сюртук;0.17647058823529413;0.0;0.0;0.35294117647058826;0.17647058823529413;0.17647058823529413
подходя к мошкину;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
с дружелюбным упреком;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
вглядываясь;0.0;0.0;0.0;0.0;0.0;0.0
шпуньдик раскрывает объятия;0.0;0.0;0.0;0.6666666666666666;0.0;0.3333333333333333
бросаются друг другу на шею;0.0;0.0;0.0;0.6;0.2;0.2
прерывающимся голосом;0.0;0.0;0.0;0.5;0.0;0.0
они опять обнимаются;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333
оба садятся и глядят друг на друга;0.0;0.0;0.0;0.2857142857142857;0.14285714285714285;0.2857142857142857
перебивая его;0.0;0.0;0.0;0.0;0.0;0.0
качая головой;0.0;0.0;0.0;0.5;0.0;0.0
треплет его по ляжке и отнимает у него картуз;0.0;0.0;0.0;0.2222222222222222;0.2222222222222222;0.2222222222222222
со вздохом;0.0;0.0;0.0;0.5;0.5;0.0
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
взглядывает на дверь;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
потирая руки;0.0;0.0;0.0;0.5;0.0;0.0
глядя ему прямо в глаза;0.0;0.2;0.0;0.2;0.2;0.0
смеясь;0.0;0.0;0.0;0.0;0.0;0.0
указывая на стол;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
указывая на ширмы;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
со вздохом;0.0;0.0;0.0;0.5;0.5;0.0
вынимая табакерку;0.0;0.0;0.0;0.5;0.0;0.0
сильно понюхав табаку;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0
встает, показывает шпуньдику, как, и опять садится;0.0;0.1;0.0;0.1;0.0;0.3
складывает руки крестом;0.0;0.0;0.0;0.6666666666666666;0.0;0.3333333333333333
делает значительные движения;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
взглянув на себя;0.0;0.0;0.0;0.0;0.3333333333333333;0.0
вставая;0.0;0.0;0.0;0.0;0.0;0.0
вставая тоже;0.0;0.5;0.0;0.0;0.0;0.0
берет картуз;0.0;0.0;0.0;0.5;0.0;0.5
пожимая ему руку;0.0;0.0;0.0;0.3333333333333333;0.0;0.0
указывая на покупки;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
жмет ему руку;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
тоже жмет ему руку;0.0;0.25;0.0;0.25;0.0;0.25
который собирался идти;0.3333333333333333;0.0;0.0;0.0;0.0;0.6666666666666666
в передней раздается звонок;0.25;0.0;0.0;0.25;0.25;0.25
прислушиваясь;0.0;0.0;0.0;0.0;0.0;0.0
в волнении, оглядываясь;0.0;0.0;0.0;0.25;0.25;0.0
входит маша с пряжкиной, в салопах. они их не снимают;0.0;0.0;0.0;0.25;0.16666666666666666;0.16666666666666666
увидя их;0.0;0.0;0.0;0.0;0.0;0.0
маше;0.0;0.0;0.0;1.0;0.0;0.0
"шпуньдик кланяется; маша приседает; пряжкина глядит на шпуньдика во все глаза";0.07692307692307693;0.0;0.0;0.38461538461538464;0.15384615384615385;0.23076923076923078
маше;0.0;0.0;0.0;1.0;0.0;0.0
шаркает;0.0;0.0;0.0;0.0;0.0;1.0
маше;0.0;0.0;0.0;1.0;0.0;0.0
слабым голосом;0.5;0.0;0.0;0.5;0.0;0.0
пряжкиной;0.0;0.0;0.0;1.0;0.0;0.0
отдает ей покупки. маша и пряжкина уходят в дверь налево. мошкин обращается к шпуньдику;0.0;0.0625;0.0;0.375;0.125;0.1875
уходит в переднюю;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333
кричит ему вслед;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333
ходит по комнате;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
останавливается;0.0;0.0;0.0;0.0;0.0;1.0
стратилат входит;0.0;0.0;0.0;0.5;0.0;0.5
снимает сюртук и шейный платок. стратилат идет за ширмы, выносит оттуда фрак и другой галстук. мошкин глядится в зеркало;0.09090909090909091;0.045454545454545456;0.0;0.36363636363636365;0.09090909090909091;0.18181818181818182
проводит щеткой по голове, начиная с затылка;0.0;0.0;0.0;0.375;0.25;0.125
с помощью стратилата надевает галстук;0.0;0.0;0.0;0.6;0.2;0.2
с неудовольствием;0.0;0.0;0.0;0.5;0.5;0.0
плюет;0.0;0.0;0.0;0.0;0.0;1.0
вдруг входя из передней;0.25;0.25;0.0;0.0;0.25;0.0
круто оборачиваясь к ней;0.0;0.25;0.0;0.0;0.25;0.0
хватаясь за голову;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
роется в жилете;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
смотрит на часы;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
вполголоса уходящей маланье;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0
"надевает фрак; стратилат обдергивает его сзади";0.0;0.14285714285714285;0.0;0.2857142857142857;0.0;0.2857142857142857
стратилат выходит в переднюю;0.25;0.0;0.0;0.25;0.25;0.25
садится и глядит на часы;0.0;0.0;0.0;0.2;0.2;0.4
оглядывается;0.0;0.0;0.0;0.0;0.0;1.0
встает и сметает платком пыль со стола. звонок;0.0;0.0;0.0;0.4444444444444444;0.1111111111111111;0.2222222222222222
входит и докладывает;0.0;0.0;0.0;0.0;0.0;0.6666666666666666
заикается;0.0;0.0;0.0;0.0;0.0;1.0
шепотом стратилату;0.0;0.5;0.0;0.5;0.0;0.0
тоже шепотом;0.0;1.0;0.0;0.0;0.0;0.0
шепотом;0.0;1.0;0.0;0.0;0.0;0.0
громко;0.0;1.0;0.0;0.0;0.0;0.0
"стратилат выходит. входят вилицкий и фонк во фраках. вилицкий бледен и как будто смущен; фонк держит себя необыкновенно важно, строго и чинно";0.07692307692307693;0.11538461538461539;0.0;0.23076923076923078;0.038461538461538464;0.11538461538461539
мошкину;0.0;0.0;0.0;1.0;0.0;0.0
фонк чопорно кланяется;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333
не без смущения;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
кланяется;0.0;0.0;0.0;0.0;0.0;1.0
небольшое молчание;0.5;0.0;0.0;0.5;0.0;0.0
все садятся. опять воцаряется молчание. фонк с достоинством оглядывает всю комнату. мошкин, откашлявшись;0.11764705882352941;0.058823529411764705;0.0;0.29411764705882354;0.058823529411764705;0.17647058823529413
вилицкому чрезвычайно мягким голосом;0.25;0.25;0.0;0.5;0.0;0.0
фонк делает едва заметное движение бровями при слове «тебя»;0.09090909090909091;0.09090909090909091;0.0;0.36363636363636365;0.09090909090909091;0.09090909090909091
фонку;0.0;0.0;0.0;1.0;0.0;0.0
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
не без робости;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
помолчав опять;0.0;0.5;0.0;0.0;0.0;0.0
с улыбкой;0.0;0.0;0.0;0.5;0.5;0.0
указывая на вилицкого;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
неопределенно указывая на вилицкого и на дверь налево;0.125;0.25;0.0;0.125;0.25;0.0
он значительно выговаривает это слово;0.0;0.2;0.0;0.2;0.0;0.2
с благоговением выслушивая фонка;0.0;0.0;0.0;0.5;0.25;0.0
он поднимает брови;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
еще с большим благоговением;0.25;0.0;0.0;0.25;0.25;0.0
слегка жмурясь;0.0;0.5;0.0;0.0;0.0;0.0
поспешно перебивая его;0.0;0.3333333333333333;0.0;0.0;0.0;0.0
фонку;0.0;0.0;0.0;1.0;0.0;0.0
вилицкий выходит в дверь налево;0.0;0.2;0.0;0.4;0.2;0.2
глядит ему вслед, пододвигается к фонку и берет его за руку;0.0;0.08333333333333333;0.0;0.16666666666666666;0.16666666666666666;0.25
с холодной учтивостью;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
у него слезы навертываются;0.0;0.0;0.0;0.25;0.25;0.25
понизив голос, словно самому себе говорит;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285
смеется, достает платок, сморкается и украдкой утирает глаза;0.0;0.1;0.0;0.2;0.0;0.4
оправившись;0.0;0.0;0.0;0.0;0.0;0.0
опять впадая в благоговение;0.0;0.25;0.0;0.25;0.25;0.0
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
с уважением;0.0;0.0;0.0;0.5;0.5;0.0
помолчав;0.0;0.0;0.0;0.0;0.0;0.0
г-жа пряжкина выходит из боковой двери, разряженная в пух, с большим бантом желтых лент на чепце, она тихонько подвигается к говорящим, слегка приседая им в спину и перебирая снурки ридикюля;0.08333333333333333;0.05555555555555555;0.0;0.3333333333333333;0.16666666666666666;0.05555555555555555
мошкин внимательно слушает;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333
"вертит рукой на воздухе; мошкин также вертит рукой и одобрительно кивает головой";0.0;0.07692307692307693;0.0;0.38461538461538464;0.07692307692307693;0.23076923076923078
михайло иваныч делает движение, как бы желая сказать: о, помилуйте!;0.0;0.0;0.0;0.21428571428571427;0.07142857142857142;0.21428571428571427
скромно, но громко кашляя дискантом;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0
"фонк останавливается и оглядывается; мошкин оглядывается тоже. пряжкина приседает";0.0;0.09090909090909091;0.0;0.2727272727272727;0.0;0.36363636363636365
с некоторой досадой;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
фонк медленно приподнимается. мошкин тоже встает;0.0;0.2857142857142857;0.0;0.2857142857142857;0.0;0.2857142857142857
с смущением;0.0;0.0;0.0;0.5;0.5;0.0
спохватившись;0.0;0.0;0.0;0.0;0.0;0.0
холодно кланяясь;0.5;0.0;0.0;0.0;0.0;0.0
пряжкина опять приседает;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333
пряжкиной;0.0;0.0;0.0;1.0;0.0;0.0
с укоризной;0.0;0.0;0.0;0.5;0.5;0.0
украдкой указывая ей на фонка;0.0;0.2;0.0;0.2;0.2;0.0
поднимая руку;0.0;0.0;0.0;0.5;0.0;0.0
уходя с пряжкиной, он ей высказывает свое неудовольствие;0.1111111111111111;0.0;0.0;0.2222222222222222;0.1111111111111111;0.1111111111111111
"один; глядит им вслед, пожимает плечами, начинает ходить по комнате. подходит к зеркалу, охорашивается, потом с гадливостью приподнимает щетку, взглядывает на ширмы";0.034482758620689655;0.06896551724137931;0.0;0.2413793103448276;0.13793103448275862;0.27586206896551724
расставляя руки;0.0;0.0;0.0;0.5;0.0;0.0
стратилат входит и прицепляет зажженные лампы к стене. фонк глядит на него скрестя руки. стратилат с робостью взглядывает на него и выходит;0.0;0.0;0.0;0.2916666666666667;0.16666666666666666;0.20833333333333334
из боковой двери выходит вилицкий. а! вилицкий!;0.0;0.0;0.0;0.4;0.1;0.1
жмет ему руку;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
"вилицкий ждет, чтоб фонк его прервал; фонк молчит";0.0;0.0;0.0;0.3;0.0;0.3
слегка краснея и принужденно улыбаясь;0.0;0.4;0.0;0.0;0.0;0.0
помолчав;0.0;0.0;0.0;0.0;0.0;0.0
помолчав;0.0;0.0;0.0;0.0;0.0;0.0
тоже помолчав;0.0;0.5;0.0;0.0;0.0;0.0
глянув в сторону;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
глядит на часы;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
"оглядывается… из передней входит шпуньдик. на нем старомодный черный фрак с крошечной тальей и высоким воротником, белый тесный галстук с пряжкой, весьма короткий полосатый бархатный жилет с перламутровыми пуговицами и светло-гороховые панталоны; в руке у него пуховая шляпа. увидя двух незнакомых людей, он начинает кланяться, косвенно шаркая вперед правой ногой, приподнимая левую и прижимая обеими руками шляпу к желудку. он вообще изъявляет большое смущение. вилицкий и фонк оба молча ему кланяются";0.20238095238095238;0.07142857142857142;0.0;0.23809523809523808;0.09523809523809523;0.07142857142857142
вполголоса вилицкому;0.0;0.5;0.0;0.5;0.0;0.0
тоже вполголоса;0.0;1.0;0.0;0.0;0.0;0.0
шпуньдику;0.0;0.0;0.0;1.0;0.0;0.0
вынимает платок и утирает лоб;0.0;0.0;0.0;0.4;0.0;0.4
краснеет, смеется и боком отходит в сторону направо;0.0;0.2222222222222222;0.0;0.1111111111111111;0.1111111111111111;0.3333333333333333
вилицкому;0.0;0.0;0.0;1.0;0.0;0.0
громко шпуньдику;0.0;0.5;0.0;0.5;0.0;0.0
шпуньдик делает неопределенный знак рукою, улыбается и отворачивается. вилицкий обращается почти с умоляющим видом к фонку;0.1111111111111111;0.05555555555555555;0.0;0.3333333333333333;0.1111111111111111;0.2222222222222222
пожимая ему руку;0.0;0.0;0.0;0.3333333333333333;0.0;0.0
оборачивается;0.0;0.0;0.0;0.0;0.0;1.0
из двери налево выходят мошкин и маша. он ведет ее за руку. вслед за ними выступает пряжкина. маша вся в белом, с голубой лентой вокруг пояса. она очень сконфужена;0.029411764705882353;0.11764705882352941;0.0;0.29411764705882354;0.14705882352941177;0.08823529411764706
с торжественностью, сквозь которую проглядывает робость;0.14285714285714285;0.0;0.0;0.2857142857142857;0.2857142857142857;0.14285714285714285
фонк кланяется. маша приседает. пряжкина приседает сзади ее. мошкин фонку, указывая на машу;0.0;0.058823529411764705;0.0;0.35294117647058826;0.058823529411764705;0.17647058823529413
маше;0.0;0.0;0.0;1.0;0.0;0.0
маша не отвечает ни на одну из его фраз и наклоняет голову;0.08333333333333333;0.0;0.0;0.25;0.16666666666666666;0.16666666666666666
маша исподлобья взглядывает на вилицкого… она видимо робеет. маленькое молчание;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.08333333333333333;0.16666666666666666
увидя шпуньдика;0.0;0.0;0.0;0.5;0.0;0.0
берет его за руку и представляет всему обществу;0.125;0.0;0.0;0.25;0.125;0.25
раскланивается со всеми и приговаривает;0.2;0.0;0.0;0.0;0.2;0.4
громко ко всему обществу;0.25;0.25;0.0;0.25;0.25;0.0
маша садится на диван;0.0;0.0;0.0;0.5;0.25;0.25
указывая на место возле маши;0.0;0.2;0.0;0.4;0.2;0.0
фонк садится;0.0;0.0;0.0;0.5;0.0;0.5
указывая на кресло напротив;0.0;0.0;0.0;0.25;0.25;0.0
шпуньдик садится;0.0;0.0;0.0;0.5;0.0;0.5
указывает на диван подле маши;0.0;0.2;0.0;0.4;0.2;0.2
пряжкина садится, сильно сжимая ридикюль руками. мошкин сам садится на кресло налево;0.07142857142857142;0.14285714285714285;0.0;0.35714285714285715;0.07142857142857142;0.14285714285714285
вилицкий делает знак головою и становится возле фонка. молчание;0.0;0.1;0.0;0.5;0.0;0.2
улыбаясь;0.0;0.0;0.0;0.0;0.0;0.0
опять маленькое молчание;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0
он обращается к маше;0.0;0.0;0.0;0.25;0.25;0.25
голос у нее прерывается;0.0;0.0;0.0;0.5;0.25;0.25
мошкин, шпуньдик и пряжкина слушают его с напряженным вниманием;0.0;0.0;0.0;0.4;0.1;0.1
ласково обращаясь к пряжкиной;0.0;0.25;0.0;0.25;0.25;0.0
пряжкина от испуга передергивает губами, моргает одним глазом и издает болезненный звук;0.15384615384615385;0.0;0.0;0.38461538461538464;0.07692307692307693;0.23076923076923078
поспешно приходя ей на помощь;0.0;0.2;0.0;0.2;0.2;0.0
скромно обращаясь к мошкину;0.0;0.25;0.0;0.25;0.25;0.0
фонк оборачивается на шпуньдика, шпуньдик почтительно кашляет в руку;0.0;0.1;0.0;0.4;0.2;0.2
продолжая поглядывать на шпуньдика;0.0;0.0;0.0;0.25;0.25;0.25
трепетным голосом, ободренный вниманием фонка;0.16666666666666666;0.0;0.0;0.5;0.0;0.0
он принимает утомленный вид;0.25;0.0;0.0;0.25;0.0;0.25
со вздохом;0.0;0.0;0.0;0.5;0.5;0.0
он снова оборачивается к маше;0.0;0.2;0.0;0.2;0.2;0.2
заметив, что фонк от него отвернулся, он конфузится и умолкает;0.0;0.0;0.0;0.08333333333333333;0.08333333333333333;0.25
маше, которой вилицкий шептал раза два на ухо во время его разговора с шпуньдиком;0.06666666666666667;0.0;0.0;0.4666666666666667;0.2;0.06666666666666667
вилицкому;0.0;0.0;0.0;1.0;0.0;0.0
обращаясь к шпуньдику;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
смеется. шпуньдик уныло поднимает глаза;0.0;0.16666666666666666;0.0;0.3333333333333333;0.0;0.3333333333333333
маше;0.0;0.0;0.0;1.0;0.0;0.0
улыбаясь в направлении пряжкиной;0.0;0.0;0.0;0.5;0.25;0.0
пряжкину опять от испуга пучит;0.0;0.2;0.0;0.4;0.2;0.2
фонк неподвижно глядит некоторое время на нее маша опускает глаза;0.1;0.1;0.0;0.5;0.1;0.2
подходя сзади к мошкину, вполголоса;0.0;0.3333333333333333;0.0;0.16666666666666666;0.16666666666666666;0.0
вставая и почти шепотом вилицкому, но с необыкновенной энергией;0.1;0.2;0.0;0.2;0.1;0.0
вилицкий хочет идти;0.0;0.0;0.0;0.3333333333333333;0.0;0.6666666666666666
вилицкий уходит. мошкин обращается торопливо и с светлым лицом к фонку;0.08333333333333333;0.08333333333333333;0.0;0.3333333333333333;0.16666666666666666;0.16666666666666666
не без некоторого удивления взглядывает на мошкина;0.14285714285714285;0.0;0.0;0.2857142857142857;0.2857142857142857;0.14285714285714285
он не знает, что сказать;0.0;0.0;0.0;0.0;0.0;0.3333333333333333
смеется;0.0;0.0;0.0;0.0;0.0;1.0
смеется;0.0;0.0;0.0;0.0;0.0;1.0
все смеются;0.5;0.0;0.0;0.0;0.0;0.5
с восторгом;0.0;0.0;0.0;0.5;0.5;0.0
глубокомысленно;0.0;1.0;0.0;0.0;0.0;0.0
с жаром;0.0;0.0;0.0;0.5;0.5;0.0
с достоинством;0.0;0.0;0.0;0.5;0.5;0.0
помолчав;0.0;0.0;0.0;0.0;0.0;0.0
маше;0.0;0.0;0.0;1.0;0.0;0.0
маша молчит. из передней входит стратилат с закуской на подносе. за ним вилицкий;0.06666666666666667;0.0;0.0;0.3333333333333333;0.26666666666666666;0.13333333333333333
который не садился с тех пор, как встал, суетливо;0.2727272727272727;0.0;0.0;0.09090909090909091;0.09090909090909091;0.18181818181818182
стратилату, указывая на фонка;0.0;0.0;0.0;0.4;0.2;0.0
фонку;0.0;0.0;0.0;1.0;0.0;0.0
фонк отказывается;0.0;0.0;0.0;0.5;0.0;0.5
пряжкина берет кусок хлеба с икрой и ест, с трудом разевая рот. маша отказывается;0.0;0.0;0.0;0.4375;0.125;0.1875
шпуньдик встает, отводит немного стратилата в сторону и наливает себе рюмку водки. вилицкий подходит к фонку вдруг из двери передней показывается маланья;0.041666666666666664;0.08333333333333333;0.0;0.375;0.125;0.20833333333333334
как исступленный бросаясь ей навстречу и упираясь коленкой ей в живот, вполголоса;0.07692307692307693;0.15384615384615385;0.0;0.15384615384615385;0.07692307692307693;0.0
выталкивая ее;0.0;0.0;0.0;0.0;0.0;0.0
быстро возвращается;0.0;0.5;0.0;0.0;0.0;0.5
все молчат. мошкин шепчет стратилату;0.16666666666666666;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
стратилат выходит. мошкин обращается к фонку;0.0;0.0;0.0;0.42857142857142855;0.14285714285714285;0.2857142857142857
указывая на машу, вилицкий слегка сжимает губы;0.0;0.125;0.0;0.375;0.125;0.125
к маше;0.0;0.0;0.0;0.5;0.5;0.0
немного обращаясь к пряжкиной;0.0;0.25;0.0;0.25;0.25;0.0
пряжкиной;0.0;0.0;0.0;1.0;0.0;0.0
невинно;0.0;1.0;0.0;0.0;0.0;0.0
маша страшно конфузится;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333
выходя из передней, громогласно;0.2;0.2;0.0;0.0;0.2;0.0
все встают;0.5;0.0;0.0;0.0;0.0;0.5
шпуньдику;0.0;0.0;0.0;1.0;0.0;0.0
берет его под руку;0.0;0.0;0.0;0.25;0.25;0.25
все идут в переднюю мошкин и шпуньдик позади всех;0.3333333333333333;0.1111111111111111;0.0;0.2222222222222222;0.1111111111111111;0.1111111111111111
со вздохом;0.0;0.0;0.0;0.5;0.5;0.0
уходят;0.0;0.0;0.0;0.0;0.0;1.0
театр представляет довольно бедною комнату молодого холостого чиновника прямо дверь, направо другая стол, диван, несколько стульев, книги на полочке, чубуки по углам, комод. вилицкий сидит, одетый, на стуле и держит на коленах раскрытую книгу;0.13953488372093023;0.09302325581395349;0.0;0.37209302325581395;0.09302325581395349;0.06976744186046512
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
выходя из передней;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0
поглядев на него;0.0;0.0;0.0;0.0;0.3333333333333333;0.0
митька идет в угол и набивает трубку;0.0;0.0;0.0;0.42857142857142855;0.14285714285714285;0.2857142857142857
подает вилицкому трубку и зажигательную спичку;0.16666666666666666;0.0;0.0;0.5;0.0;0.16666666666666666
раскуривая трубку;0.0;0.0;0.0;0.5;0.0;0.0
уходит;0.0;0.0;0.0;0.0;0.0;1.0
некоторое время курит трубку и вдруг встает;0.14285714285714285;0.14285714285714285;0.0;0.2857142857142857;0.0;0.2857142857142857
ходит по комнате;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
подумав немного;0.0;0.5;0.0;0.0;0.0;0.0
